algorithm,timelimit,n_people,cohesion,iteration,score,time
annealingFromFluent,0.1,300,20,57,11995.52,1.2239899635314941
annealingFromFluent,0.1,300,20,58,11996.78,1.2746596336364746
annealingFromFluent,0.1,300,20,59,12195.57,1.1365163326263428
annealingFromFluent,0.1,300,20,60,11636.0,1.1549127101898193
annealingFromFluent,0.1,300,20,61,12050.64,1.3628363609313965
annealingFromFluent,0.1,300,20,62,11372.99,1.1811470985412598
annealingFromFluent,0.1,300,20,63,12481.25,1.213324785232544
annealingFromFluent,0.1,300,20,64,12073.1,1.136997938156128
annealingFromFluent,0.1,300,20,65,12355.71,1.1448523998260498
annealingFromFluent,0.1,300,20,66,11373.74,1.1704373359680176
annealingFromFluent,0.1,300,20,67,12076.67,1.2246417999267578
annealingFromFluent,0.1,300,20,68,12270.27,1.273224115371704
annealingFromFluent,0.1,300,20,69,11783.6,1.3548212051391602
annealingFromFluent,0.1,300,20,70,12248.31,1.1815040111541748
annealingFromFluent,0.1,300,20,71,12677.52,1.1856520175933838
annealingFromFluent,0.1,300,20,72,12125.84,1.0720231533050537
annealingFromFluent,0.1,300,20,73,12317.23,1.1678102016448975
annealingFromFluent,0.1,300,20,74,12449.26,1.0445115566253662
annealingFromFluent,0.1,300,20,75,11291.25,1.1483049392700195
annealingFromFluent,0.1,300,20,76,11857.95,1.3209302425384521
annealingFromFluent,0.1,300,20,77,11933.76,1.211249589920044
annealingFromFluent,0.1,300,20,78,11884.69,1.2991657257080078
annealingFromFluent,0.1,300,20,79,12060.92,1.257681131362915
annealingFromFluent,0.1,300,20,80,12278.57,1.243135690689087
annealingFromFluent,0.1,300,20,81,11816.62,1.234649896621704
annealingFromFluent,0.1,300,20,82,12028.57,1.0625481605529785
annealingFromFluent,0.1,300,20,83,11814.82,1.3147776126861572
annealingFromFluent,0.1,300,20,84,11521.78,1.2821595668792725
annealingFromFluent,0.1,300,20,85,12160.22,1.3528735637664795
annealingFromFluent,0.1,300,20,86,11717.27,1.005730390548706
annealingFromFluent,0.1,300,20,87,12187.1,1.2050480842590332
annealingFromFluent,0.1,300,20,88,11950.38,1.161085605621338
annealingFromFluent,0.1,300,20,89,12077.45,1.217383623123169
annealingFromFluent,0.1,300,20,90,11792.25,1.2532718181610107
annealingFromFluent,0.1,300,20,91,11872.79,1.3331794738769531
annealingFromFluent,0.1,300,20,92,12281.71,1.221940517425537
annealingFromFluent,0.1,300,20,93,11721.11,1.1802780628204346
annealingFromFluent,0.1,300,20,94,11928.09,1.238478660583496
annealingFromFluent,0.1,300,20,95,12281.49,1.2516138553619385
annealingFromFluent,0.1,300,20,96,11644.73,1.2011122703552246
annealingFromFluent,0.1,300,20,97,12087.19,1.2945189476013184
annealingFromFluent,0.1,300,20,98,11612.08,1.3117620944976807
annealingFromFluent,0.1,300,20,99,11932.95,1.3078923225402832
annealingFromFluent,0.1,300,30,0,11754.57,1.044250726699829
annealingFromFluent,0.1,300,30,1,12655.11,1.199739694595337
annealingFromFluent,0.1,300,30,2,12448.11,1.0219814777374268
annealingFromFluent,0.1,300,30,3,11696.96,0.9004209041595459
annealingFromFluent,0.1,300,30,4,12101.03,0.9864246845245361
annealingFromFluent,0.1,300,30,5,12858.29,1.0355448722839355
annealingFromFluent,0.1,300,30,6,11746.98,0.8643093109130859
annealingFromFluent,0.1,300,30,7,12289.99,0.9143643379211426
annealingFromFluent,0.1,300,30,8,12213.88,1.051185131072998
annealingFromFluent,0.1,300,30,9,12452.31,0.9505293369293213
annealingFromFluent,0.1,300,30,10,12575.88,1.1026625633239746
annealingFromFluent,0.1,300,30,11,12412.97,1.052710771560669
annealingFromFluent,0.1,300,30,12,12420.75,0.8714256286621094
annealingFromFluent,0.1,300,30,13,12635.82,1.0880155563354492
annealingFromFluent,0.1,300,30,14,12706.08,1.0956628322601318
annealingFromFluent,0.1,300,30,15,12195.12,1.0590693950653076
annealingFromFluent,0.1,300,30,16,12357.31,1.0054333209991455
annealingFromFluent,0.1,300,30,17,12762.72,1.1243109703063965
annealingFromFluent,0.1,300,30,18,12672.0,0.9546687602996826
annealingFromFluent,0.1,300,30,19,12250.98,0.9237573146820068
annealingFromFluent,0.1,300,30,20,12354.63,1.0069191455841064
annealingFromFluent,0.1,300,30,21,12644.58,0.8961193561553955
annealingFromFluent,0.1,300,30,22,12875.97,0.8500149250030518
annealingFromFluent,0.1,300,30,23,12165.47,1.1194167137145996
annealingFromFluent,0.1,300,30,24,12617.37,1.0923418998718262
annealingFromFluent,0.1,300,30,25,12673.4,1.118818759918213
annealingFromFluent,0.1,300,30,26,11895.79,0.9394922256469727
annealingFromFluent,0.1,300,30,27,12392.22,1.0969657897949219
annealingFromFluent,0.1,300,30,28,11651.46,0.9540863037109375
annealingFromFluent,0.1,300,30,29,12066.37,1.0457429885864258
annealingFromFluent,0.1,300,30,30,12212.79,0.9548702239990234
annealingFromFluent,0.1,300,30,31,12705.67,0.8571615219116211
annealingFromFluent,0.1,300,30,32,12716.74,0.9621801376342773
annealingFromFluent,0.1,300,30,33,12547.23,1.1813998222351074
annealingFromFluent,0.1,300,30,34,12390.14,1.0888259410858154
annealingFromFluent,0.1,300,30,35,11995.48,0.8394091129302979
annealingFromFluent,0.1,300,30,36,12259.92,0.9238793849945068
annealingFromFluent,0.1,300,30,37,12069.87,0.873544454574585
annealingFromFluent,0.1,300,30,38,12545.96,1.1080937385559082
annealingFromFluent,0.1,300,30,39,12991.88,0.9570474624633789
annealingFromFluent,0.1,300,30,40,12313.73,1.070288896560669
annealingFromFluent,0.1,300,30,41,12525.79,1.1311373710632324
annealingFromFluent,0.1,300,30,42,12544.21,0.9492721557617188
annealingFromFluent,0.1,300,30,43,12298.03,1.1137232780456543
annealingFromFluent,0.1,300,30,44,12718.78,0.9600939750671387
annealingFromFluent,0.1,300,30,45,12435.3,0.9367156028747559
annealingFromFluent,0.1,300,30,46,12249.27,0.8198015689849854
annealingFromFluent,0.1,300,30,47,12133.59,1.0581581592559814
annealingFromFluent,0.1,300,30,48,12131.0,1.1058976650238037
annealingFromFluent,0.1,300,30,49,12522.45,0.8573651313781738
annealingFromFluent,0.1,300,30,50,12621.33,1.1850814819335938
annealingFromFluent,0.1,300,30,51,12601.11,0.9144999980926514
annealingFromFluent,0.1,300,30,52,12394.85,0.994783878326416
annealingFromFluent,0.1,300,30,53,12562.15,0.794959306716919
annealingFromFluent,0.1,300,30,54,12231.38,1.127596378326416
annealingFromFluent,0.1,300,30,55,12409.14,1.102912187576294
annealingFromFluent,0.1,300,30,56,12859.21,1.009549856185913
annealingFromFluent,0.1,300,30,57,12271.91,1.0780212879180908
annealingFromFluent,0.1,300,30,58,12191.82,0.7714910507202148
annealingFromFluent,0.1,300,30,59,12421.6,1.2352216243743896
annealingFromFluent,0.1,300,30,60,12270.29,0.7104239463806152
annealingFromFluent,0.1,300,30,61,12421.72,0.8810601234436035
annealingFromFluent,0.1,300,30,62,11687.45,1.0476727485656738
annealingFromFluent,0.1,300,30,63,12885.15,0.8925747871398926
annealingFromFluent,0.1,300,30,64,12493.84,1.0178415775299072
annealingFromFluent,0.1,300,30,65,12331.07,1.0450439453125
annealingFromFluent,0.1,300,30,66,11866.4,1.0802161693572998
annealingFromFluent,0.1,300,30,67,12424.4,1.023223876953125
annealingFromFluent,0.1,300,30,68,12842.85,0.923114538192749
annealingFromFluent,0.1,300,30,69,12227.13,0.9392085075378418
annealingFromFluent,0.1,300,30,70,12695.81,1.0063986778259277
annealingFromFluent,0.1,300,30,71,12835.62,0.7485370635986328
annealingFromFluent,0.1,300,30,72,12247.96,0.9653322696685791
annealingFromFluent,0.1,300,30,73,12601.26,1.1006486415863037
annealingFromFluent,0.1,300,30,74,12189.44,0.7573983669281006
annealingFromFluent,0.1,300,30,75,11707.57,0.8670966625213623
annealingFromFluent,0.1,300,30,76,12029.64,1.1401653289794922
annealingFromFluent,0.1,300,30,77,12404.4,0.9947679042816162
annealingFromFluent,0.1,300,30,78,12502.4,0.8960683345794678
annealingFromFluent,0.1,300,30,79,12608.68,1.0198695659637451
annealingFromFluent,0.1,300,30,80,12204.9,0.9745500087738037
annealingFromFluent,0.1,300,30,81,12773.49,1.0174739360809326
annealingFromFluent,0.1,300,30,82,12220.53,1.000389575958252
annealingFromFluent,0.1,300,30,83,12336.52,0.9206538200378418
annealingFromFluent,0.1,300,30,84,11742.28,0.7903451919555664
annealingFromFluent,0.1,300,30,85,12439.88,1.0870277881622314
annealingFromFluent,0.1,300,30,86,12193.93,0.945664644241333
annealingFromFluent,0.1,300,30,87,12544.76,0.9802935123443604
annealingFromFluent,0.1,300,30,88,12271.53,0.9289500713348389
annealingFromFluent,0.1,300,30,89,12488.71,0.8550903797149658
annealingFromFluent,0.1,300,30,90,12303.22,1.1504735946655273
annealingFromFluent,0.1,300,30,91,12138.18,1.1066687107086182
annealingFromFluent,0.1,300,30,92,12990.46,0.8953475952148438
annealingFromFluent,0.1,300,30,93,12237.35,0.900597095489502
annealingFromFluent,0.1,300,30,94,12769.45,0.9936807155609131
annealingFromFluent,0.1,300,30,95,12554.49,0.9654650688171387
annealingFromFluent,0.1,300,30,96,12248.81,1.055870532989502
annealingFromFluent,0.1,300,30,97,12572.43,1.0096957683563232
annealingFromFluent,0.1,300,30,98,12546.95,1.0287251472473145
annealingFromFluent,0.1,300,30,99,12330.95,0.9026873111724854
annealingFromFluent,0.1,300,40,0,11935.34,0.8210275173187256
annealingFromFluent,0.1,300,40,1,12533.89,0.7320950031280518
annealingFromFluent,0.1,300,40,2,13238.49,0.7348668575286865
annealingFromFluent,0.1,300,40,3,11989.23,0.8668982982635498
annealingFromFluent,0.1,300,40,4,12723.57,0.7286388874053955
annealingFromFluent,0.1,300,40,5,13504.17,0.6558778285980225
annealingFromFluent,0.1,300,40,6,12301.69,0.7280800342559814
annealingFromFluent,0.1,300,40,7,12550.72,0.619333028793335
annealingFromFluent,0.1,300,40,8,12572.23,0.7667663097381592
annealingFromFluent,0.1,300,40,9,12477.62,0.709435224533081
annealingFromFluent,0.1,300,40,10,12929.86,0.6760036945343018
annealingFromFluent,0.1,300,40,11,13078.32,0.9192283153533936
annealingFromFluent,0.1,300,40,12,12560.77,0.7874553203582764
annealingFromFluent,0.1,300,40,13,12900.67,0.7588553428649902
annealingFromFluent,0.1,300,40,14,12728.37,0.8988363742828369
annealingFromFluent,0.1,300,40,15,12755.36,0.7556281089782715
annealingFromFluent,0.1,300,40,16,12757.76,0.9197869300842285
annealingFromFluent,0.1,300,40,17,13299.66,0.7342507839202881
annealingFromFluent,0.1,300,40,18,13129.33,0.7100698947906494
annealingFromFluent,0.1,300,40,19,12616.83,0.6942274570465088
annealingFromFluent,0.1,300,40,20,12801.73,0.9269359111785889
annealingFromFluent,0.1,300,40,21,13261.2,0.8179090023040771
annealingFromFluent,0.1,300,40,22,13215.52,0.9165995121002197
